Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Suposta fraude em pesquisa eleitoral por telefone. Não se pode escolher a opção referente ao presidente Jair Bolsonaro.,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/nao-ha-registro-no-tse-de-suposta-pesquisa-que-impede-entrevistado-de-votar-em-bolsonaro/,"São enganosas postagens que procuram desacreditar as pesquisas eleitorais ao mostrar, em vídeo, uma suposta consulta sendo feita por telefone que não permite o voto em Jair Bolsonaro. Mesmo que a pesquisa seja real, ela não é oficial e nem pode ser divulgada ao público, sob pena de multa e prisão.",2022-08-15 07:00:00,,"['Jair Bolsonaro', 'Eleição', 'Pesquisa', 'Presidente', 'Telefone', 'Fraude']"
Pesquisa do Ibapesq mostra Bolsonaro com 65% das intenções de voto em 2022,Aos Fatos,https://www.aosfatos.org/noticias/pesquisa-bolsonaro-65-intencoes-voto-falsa/,falso,2022-03-25 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyUUMMGQp46f6BUfe2rMWkOdeWP8CiFtMMPA3f7fdEaDmUH6Dp,"['Jair Bolsonaro', 'Votação', 'Pesquisa', '2022']"
"Standup com Sérgio Mallandro no teatro na Gávea, com capacidade para 700 pessoas, ele faz um enquete sobre eleições presidenciais. Perguntou quem votaria no Bolsonaro e foi uma festa de 660 pessoas. Não tem pesquisa melhor que essa.",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/pesquisas-eleitorais-seguem-metodos-cientificos-ao-contrario-de-enquetes-entenda/,"ENGANOSO: Enquetes só mostram a opinião de grupos específicos, e não podem ser usadas para tirar conclusões sobre a população em geral.",2022-03-16 07:00:00,,"['Eleição', 'Pesquisa', 'Presidente', 'Pesquisa de opinião', 'Comédia stand-up', 'Eleições presidenciais', 'Jair Bolsonaro', 'Sérgio Mallandro', 'Teatro']"
Vídeo mostra pesquisa eleitoral registrada no TSE,Aos Fatos,https://www.aosfatos.org/noticias/pesquisa-eleitoral-que-aparece-em-video-nao-foi-registrada-no-tse/,não_é_bem_assim,2022-08-04 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcToKcSCSur258KenMj0BDQQeIWu94E49i1TMENJPjFOeDmLjpzJ,"['Eleição', 'Tribunal Superior Eleitoral', 'Pesquisa', 'Vídeo']"
