Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"O clima da eleição de 2010 era muito diferente do deste ano. Em 2010, o PIB do Estado subiu mais de 8%, o do Brasil mais de 7%",Agência Pública,https://eleicoes.apublica.org/2018/2018/10/certo-anastasia-pib-de-minas-e-do-brasil-eram-bem-melhores-em-2010/,Verdadeiro,2018-10-22 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4fdboZvZUobvNbENSx7joOj-6FVAJWghO_vEQPxWryPK3J0VY,"['Produto interno bruto', 'Brasil', 'Eleição', '2010', 'Eleição presidencial no Brasil em 2010', 'Chuva', 'Clima', 'Ano']"
CONFIRMADO: BOLSONARO ESTAVA CERTO!!! A ong WWF estava sim patrocinando o fogo na Amazônia.,Boatos.org,https://www.boatos.org/brasil/wwf-estava-patrocinando-fogo-na-amazonia.html,Falso,2021-01-31 08:00:00,,"['Fogo', 'Amazônia', 'World Wide Fund for Nature', 'Organização não governamental', 'Jair Bolsonaro']"
"Declaração do Dr. Robert Malone, inventor da tecnologia MRNA das vacinas contra a Covid-19, sobre a vacinação nas crianças.",Boatos.org,https://www.boatos.org/saude/robert-malone-nventor-vacina-mrna-esta-certo-vacinacao-criancas.html,Falso,2022-01-11 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRsQcOSDKN_NO0QpuXVy95LK9sdtDQhRIFmAtcO04rJX-u83Kpy,"['Vacina', 'Vacina de RNA', 'Robert W. Malone', 'Criança', 'Vacina contra COVID-19', 'COVID-19', 'Invenção']"
