Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Por que que para senador, governador, tinha só 348 e apareceu apareceu 263 para votar? Da onde surgiu essas 340 pessoas que votaram aí para presidente? Que estranho",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/10/06/voto-em-transito-justifica-mais-eleitores-para-presidente-em-secao-de-mg.htm,Verdadeiro,2022-10-06 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSjmBHt8ApnNRtvjmLWMICHjeHcd152rG8udrbpJjB12PfY70JB,"['Votação', 'Presidente', 'Senado Federal do Brasil', 'Governador']"
Maior número de votos para presidente em Uberaba é indício de fraude eleitoral,Aos Fatos,https://www.aosfatos.org/noticias/voto-em-transito-explica-numero-maior-de-eleitores-em-macapa-e-uberaba-mg-nao-fraude/,falso,2022-10-10 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRK5o9P74-LTS8Up-Fn7bRlXmewdf5VrLmTYt898lnZOwVxdLZe,"['Votação', 'Eleição', 'Presidente', 'Fraude eleitoral', 'indício', 'Uberaba', 'Fraude', 'Número']"
Maior número de votos para presidente em Macapá é indício de fraude eleitoral,Aos Fatos,https://www.aosfatos.org/noticias/voto-em-transito-explica-numero-maior-de-eleitores-em-macapa-e-uberaba-mg-nao-fraude/,falso,2022-10-10 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRK5o9P74-LTS8Up-Fn7bRlXmewdf5VrLmTYt898lnZOwVxdLZe,"['Votação', 'Eleição', 'Presidente', 'Fraude eleitoral', 'Macapá', 'Fraude', 'Número', 'indício']"
"Fraude em urna em Macapá, no Amapá, nos votos para presidente",AFP Checamos,https://checamos.afp.com/doc.afp.com.32KU9BF,Falso,2022-10-06 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR-8Sq2sZtoJBx0WqhwSG30Eu1ZjGUYp8MutlCdkzPqZSJEN0VY,"['Votação', 'Amapá', 'Urna eleitoral', 'Fraude', 'Presidente', 'Macapá']"
