Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Marçal teria exagerado a gravidade de sua condição após sofrer uma agressão em debate eleitoral,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2024/09/25/entenda-o-e-a-pulseira-verde-dada-em-atendimento-hospitalar-a-marcal.htm,Comprovado,2024-09-25 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQETF6mJXTLooh3Q-POl2Cj2j5tQ_Kkp-KvF3JNLrIZskTjTPhu,"['Pablo Marçal', 'Eleição', 'Debate eleitoral', 'Agressão', 'Debate']"
"Lula disse no debate eleitoral: ""Eu quinupliquei o orçamento da educação""",AFP Checamos,https://checamos.afp.com/doc.afp.com.32HA9F2,Enganoso,2022-08-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTaZcF_smVTc3IEyfCnhsvwm-zWoEzxxnWRwb1N9ruhPhMLh6k7,"['Eleição', 'Debate', 'Debate eleitoral', 'Luiz Inácio Lula da Silva', 'Educação', 'Orçamento']"
Este vídeo prova que Lula teve um lapso de memória durante o debate presidencial de agosto de 2022,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HC4P2,Enganoso,2022-08-30 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRNKtWdSginjsOqwOgyg8O5TduVcggBM5s24nj4NtNrH4v1_ubb,"['Luiz Inácio Lula da Silva', 'Debate', 'Presidente', 'Debate eleitoral', 'Memória', '2022', 'Agosto', 'Vídeo', 'Prova']"
Debate presidencial na TV Record,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2018/10/01/debate-record-presidencia-candidatos-a-presidente-da-republica-uol-confere.htm,Falso,2018-10-01 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRsn6H_Rbp-f0NVxWfkubtZKRQouG2vb0_rg9JiZOMxwFHhHyj5,"['Debate', 'Presidente', 'Record', 'Debate eleitoral']"
"No debate, Bolsonaro disse: Lula defendia que se roubassem celular pra tomar uma cervejinha",AFP Checamos,https://checamos.afp.com/doc.afp.com.32KE3DT,Falso,2022-09-30 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTE2Ey1LU7tGrmBfjBLPkFkBI2QC6-i2WHFwp-G3CvwS4649AM5,"['Debate', 'Jair Bolsonaro', 'Luiz Inácio Lula da Silva', 'Telefone celular']"
O Brasil tem nem sequer satélite de comunicação,Aos Fatos,https://www.aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-da-record/,falso,2018-09-30 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSPwNxMSHxpkwr6PpMA4xhtXiKsA4d1Ss4ty1Q5ZMaXqce4dWVL,"['Comunicação', 'Satélite de comunicação', 'Brasil', 'Satélite artificial']"
Por que que o candidato senhor Luiz Inácio Lula da Silva está como candidato a presidente da República? A lei só vale para um e outros não? Ele deveria também estar sendo impedido de ser candidato a Presidente da República.,Aos Fatos,https://www.aosfatos.org/noticias/checamos-o-segundo-debate-presidencial/,falso,2022-09-24 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBCu3Q5ybxZrx3XfDPa4HgHxt06gxwhfF06cp_xJityOFn4DQ5,"['Presidente', 'Luiz Inácio Lula da Silva', 'Lei', 'Presidente do Brasil', 'Candidato']"
Nós não fechamos nenhuma escola,Aos Fatos,https://www.aosfatos.org/noticias/checagens-em-tempo-real-do-debate-presidencial-do-uolfolhasbt/,falso,2018-09-26 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ3cDQTAkfkNkMcmDpE-BujM5w6nlKk0V5161cFTCzr5bgDlQZS,['Escola']
"Eleições: afirmações de Biden e Trump durante o debate sobre coronavírus, economia, voto por correio",AFP Checamos,https://checamos.afp.com/o-primeiro-debate-presidencial-de-2020-nos-estados-unidos-verificado,Enganoso,2020-10-01 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnyCgVqs8dzOqb_6R8tDPW3tHgJzQmFdrszGERk98L-aols80M,"['Debate', 'Joe Biden', 'Eleição', 'Votação', 'Donald Trump', 'COVID-19', 'Economia']"
