Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
afirmação de que pode-se usar camisa de algum candidato ou que remeta a um partido no dia das eleições deste ano.,Metrópoles,https://www.metropoles.com/distrito-federal/e-verdadeiro-que-pode-usar-camisa-do-candidato-no-dia-das-eleicoes,Verdadeiro,2022-09-16 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSanatSWKowj2TrVcpoTVqbx2dHJn3B36v8J0iWsFBf2zTYjQ7Q,"['Eleição', 'Candidato', 'Dia da eleição', 'Partido político', 'Camisa', 'Dia']"
afirmação de que mesários e eleitores estariam proibidos de votar com a camisa da Seleção Brasileira.,Metrópoles,https://www.metropoles.com/distrito-federal/e-falso-que-nao-pode-votar-com-a-camisa-da-selecao-brasileira,Falso,2022-10-01 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ3j5szfBsTbKj2M4BQyJU53QXstWV0ijJjiS405ErRegFHXgwK,"['Seleção Brasileira', 'Votação', 'Mesário', 'Brasil', 'Eleição', 'Camisa']"
Alexandre de Moraes proibiu o uso de camisas do Brasil no dia da votação,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-alexandre-de-moraes-proibiu-o-uso-da-camisa-do-brasil-nas-eleicoes/,falso,2022-09-30 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZR6BMSs2qRLyzT5d-9EXTC1gGgMkoIxN4m49aXUxAbfqy_rA7,"['Alexandre de Moraes', 'Brasil', 'Camisa', 'Votação']"
"Não vá votar com camiseta amarela ou de outra cor qualquer que possa lhe identificar como ‘bolsonariano’, pois logo que você votar os mesários podem colocar o n° 17 do lado da sua assinatura de quem votou no Bolsonaro e assim anular o voto.",Aos Fatos,https://www.aosfatos.org/noticias/uso-de-camiseta-com-inscricao-de-candidato-nao-anula-voto/,falso,2018-10-07 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSlWv4W0EtX79lt7dOyCjQLYs7Si3R-Aa3YvuGjKopgQeMRVUj2,"['Votação', 'Jair Bolsonaro', 'Mesário', 'Amarelo', 'Camisa', 'Cor']"
Mesário pode anular votos de eleitores com camisetas amarelas,Aos Fatos,https://www.aosfatos.org/noticias/mesario-nao-pode-anular-voto-de-quem-usa-camiseta-amarela/,falso,2022-08-05 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0kbUqZ_I2PAijuBOQd6Uc7QczbfAnbO1c12Z04DhVzbtmdADF,"['Mesário', 'Votação', 'Eleição', 'Camiseta', 'Amarelo']"
