Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Nunca se falou de contagem manual em discussão sobre voto impresso,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/06/27/contagem-manual-de-voto-impresso-foi-discutida-e-barrada-na-camara.htm,Verdadeiro,2022-06-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTeJ1i5XVUKzcMrIOt6PnmT_RdCvJrqU46WZmilwbFu3Wx6U4zz,"['Comprovante de votação verificado pelo eleitor', 'Votação', 'discussão']"
Voto impresso aprovado na CCJ recentemente.,Aos Fatos,https://www.aosfatos.org/noticias/voto-impresso-foi-aprovado-na-ccj-em-2019-nao-recentemente/,distorcido,2021-04-08 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQsWKprjR4VigFVT9CsEDQjSZBINQqehfDw53-Iu42opF4dhhLr,"['Comprovante de votação verificado pelo eleitor', 'Votação', 'Comissão de Constituição, Justiça e Cidadania do Senado Federal do Brasil']"
Barroso pagou 9 milhões para cada líder e vice-líder partidário para que trocassem os deputados que votariam a favor do voto impresso por políticos que eram contrários.,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2025/08/13/e-falso-que-barroso-pagou-para-deputados-votarem-contra-voto-impresso.htm,Falso,2025-08-13 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSi0rEHu1PM_OFpTboM0KZsRGLtK0NX8hdofj81tJpeoHacqHft,"['Luís Roberto Barroso', 'Comprovante de votação verificado pelo eleitor', 'Votação', 'Deputado', 'Político', 'Liderança', 'Líder de partido']"
Ministro Barroso mentindo no Reino Unido dizendo que o que estava sendo proposto ano passado era o voto em papel com contagem manual,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/07/07/bolsonaro-nega-mas-contagem-manual-de-voto-impresso-foi-proposta.htm,Falso,2022-07-07 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR37ogtoYnl3WUhER1gBgzbxxOUtNG-DxEcUz5IQDEiuLXP3FYu,"['Votação', 'Reino Unido', 'Luís Roberto Barroso', 'Ministro', 'Papel', 'Mentira']"
Rodrigo Pacheco acatou projeto do voto impresso e abriu votação no site do Senado,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-rodrigo-pacheco-acatou-projeto-que-institui-voto-auditavel-no-brasil/,falso,2021-07-06 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSxQCLMYtGUgxjbQJ4yLcbvxXyijiZESrJyGR1RSZ9-d5cpA3_j,"['Rodrigo Pacheco', 'Votação', 'Senado Federal do Brasil', 'Comprovante de votação verificado pelo eleitor', 'Projeto']"
Voto impresso aprovado na Comissão de Constituição e Justiça (CCJ) por 33 votos a favor e 5 contra,AFP Checamos,https://checamos.afp.com/ccj-aprovou-apenas-admissibilidade-da-pec-sobre-o-voto-impresso-em-2019,Enganoso,2021-04-09 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrM0yy0fGioWaeajp6lgUrjjUmgIoJwG1GX1C_kLsUXLyBNX_p,"['Comprovante de votação verificado pelo eleitor', 'Comissão de Constituição e Justiça e de Cidadania', 'Votação', 'Constituição']"
