Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Descobriu-se agora que o presidente Lula tem fortuna milionária e teve R$ 18 milhões em impostos da Receita Federal suspensos pelo Supremo Tribunal Federal,Estadão,https://www.estadao.com.br/estadao-verifica/lula-18-milhoes-impostos-fora-de-contexto/,Fora de contexto,2025-07-11 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSPYKQyH-pteih-3d7ajCTQxIt2W-IV5VBrO6_fhzQgGGKch0AM,"['Luiz Inácio Lula da Silva', 'Imposto', 'Presidente', 'Supremo Tribunal Federal', 'Riqueza', 'Receita Federal', 'Receita Federal do Brasil', 'Tribunal', 'Milionário']"
"Lula está com o nome inscrito na Dívida Ativa da União com débitos que somam 1,3 milhão de reais. O Instituto Lula deve mais 18 milhões de reais. Lula também responde a dois processos na Justiça, movidos pela Procuradoria-Geral da Fazenda Nacional",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/divida-de-lula-com-a-uniao-e-real-mas-questionada-na-justica-apos-anulacao-de-processos-da-lava-jato/,"É VERDADE que tanto Lula quanto o Instituto Lula têm dívidas com a União. Nos dois casos, as cobranças, relacionadas à Lava Jato, estão sendo questionadas na Justiça.",2022-04-05 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx8H1qvGSTb6EtlBmnz0J5QNOxMNWJk77hPbpwV2Jywx8P9x1E,"['Luiz Inácio Lula da Silva', 'Débito', 'Instituto Lula', 'Processo judicial', 'Justiça', 'Dívida Ativa da União', 'Procuradoria-Geral da Fazenda Nacional', '2018']"
