Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
TSE descarta 195 mil urnas após denúncia de golpe por Mike Benz,Estadão,https://www.estadao.com.br/estadao-verifica/tse-descarta-195-mil-urnas-apos-denuncias-mike-benz/,Enganoso,2025-02-28 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRHlldEusu9hOwSe3ANS1gVAjDNDc6eriEBdxSGht4BOyQTjACC,"['Tribunal Superior Eleitoral', 'Urna eleitoral']"
Justiça Eleitoral publicou nas redes que voto servirá como prova de vida junto ao INSS.,Estadão,https://www.estadao.com.br/estadao-verifica/voto-eleicoes-prova-de-vida-inss/,Falso,2024-09-18 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR8k6-JmInrfVhjs4lwPbtpdRQ75VfaBEjpcFYJzEaULceKfVVj,"['Eleição', 'Votação', 'Instituto Nacional do Seguro Social', 'INSS', 'Justiça Eleitoral do Brasil', 'Rede de computadores']"
Prefeitura Belo Horizonte anula eleição para Conselho Tutelar por irregularidades em urnas eletrônicas do TSE,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2023/10/17/eleicao-para-conselho-tutelar-em-bh-nao-utilizou-urnas-da-justica-eleitoral.htm,Distorcido,2023-10-17 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRh65sdTfvp7vZgXqPCC-GtseXEDabfXCC_fr7IK0z0J0VzSJIs,"['Eleição', 'Urna eleitoral', 'Conselho Tutelar', 'Belo Horizonte', 'Tribunal Superior Eleitoral', 'Urna eletrônica', 'Prefeitura de Belo Horizonte']"
TSE pode ser pego por fraude em terceirizações,Estadão,https://www.estadao.com.br/estadao-verifica/video-engana-ao-sugerir-fraude-em-terceirizacao-de-servicos-da-justica-eleitoral/,Enganoso,2023-06-22 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS20YHUe82in0dCjNsBK1EZ1fE1c7yBykBJTSAT379J8Noqbsvb,"['Fraude', 'Tribunal Superior Eleitoral', 'Terceirização']"
Idosa de Santa Catarina teve título de eleitor cancelado sem motivo pela Justiça Eleitoral,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/04/25/falso-idosa-titulo-de-eleitor-cancelado-sem-motivo.htm,Falso,2022-04-25 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSaXx-UaBC8O0nhAB3bgchODHYU0ASFZfbJbcJceo7Iby_HKdn5,"['Título de eleitor', 'Justiça Eleitoral do Brasil', 'Eleição', 'Santa Catarina']"
TSE cassa candidatura de Lula,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/justica-eleitoral-rejeitou-candidatura-de-lula-em-2018-nao-em-2022/,"ENGANOSO: Vídeo no TikTok enganou ao compartilhar, sem contexto, a notícia de que o TSE havia votado para excluir Lula das eleições. A notícia veiculada é de 2018.",2022-09-09 07:00:00,,"['Luiz Inácio Lula da Silva', 'Tribunal Superior Eleitoral', 'Candidato']"
"A T E N Ç Ã O !

Os IDOSOS com mais de 65 anos, que não votam mais, independente de quanto tempo não vote, seja 1 ou 10 anos, TEM QUE FAZER A BIOMETRIA NO T.R.E., pois quem não fizer vai ter o Título Eleitoral cancelado e consequentemente o CPF também. Com isso, quem recebe aposentadoria ou pensão ou algum benéfico, pode ser bloqueado.",Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-idosos-que-nao-fizerem-biometria-na-justica-eleitoral-vao-perder-aposentadoria/,falso,2019-11-25 08:00:00,,"['Biometria', 'Eleição', 'Título de eleitor', 'Aposentadoria', 'Tribunal Regional Eleitoral', 'Idoso', 'Benefício', 'Cadastro de Pessoas Físicas', 'Ano']"
