Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Marçal teria exagerado a gravidade de sua condição após sofrer uma agressão em debate eleitoral,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2024/09/25/entenda-o-e-a-pulseira-verde-dada-em-atendimento-hospitalar-a-marcal.htm,Comprovado,2024-09-25 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQETF6mJXTLooh3Q-POl2Cj2j5tQ_Kkp-KvF3JNLrIZskTjTPhu,"['Pablo Marçal', 'Eleição', 'Debate eleitoral', 'Agressão', 'Debate']"
Afiliada da Rede Globo no RS não convidou candidato para debate sobre Porto Alegre,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2024/10/04/entenda-as-regras-dos-convites-para-debates-eleitorais-na-televisao.htm,Enganoso,2024-10-04 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSk4-eUJ_GVhgzT41pavn9Dm60qw1VTcVztomoZocaUxPfCHy5c,"['Debate', 'Candidato', 'Grupo Globo', 'Rio Grande do Sul', 'TV Globo', 'Porto Alegre']"
Assista a reconciliação de Datena e Pablo marçal após cadeirada no debate,Boatos.org,https://www.boatos.org/politica/datena-e-pablo-marcal-se-abracam-depois-de-briga-em-debate-eleitoral.html,Falso,2024-09-24 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRsQcOSDKN_NO0QpuXVy95LK9sdtDQhRIFmAtcO04rJX-u83Kpy,"['Pablo Marçal', 'Datena', 'Debate']"
"Lula disse no debate eleitoral: ""Eu quinupliquei o orçamento da educação""",AFP Checamos,https://checamos.afp.com/doc.afp.com.32HA9F2,Enganoso,2022-08-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTaZcF_smVTc3IEyfCnhsvwm-zWoEzxxnWRwb1N9ruhPhMLh6k7,"['Eleição', 'Debate', 'Debate eleitoral', 'Luiz Inácio Lula da Silva', 'Educação', 'Orçamento']"
Este vídeo prova que Lula teve um lapso de memória durante o debate presidencial de agosto de 2022,AFP Checamos,https://checamos.afp.com/doc.afp.com.32HC4P2,Enganoso,2022-08-30 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRNKtWdSginjsOqwOgyg8O5TduVcggBM5s24nj4NtNrH4v1_ubb,"['Luiz Inácio Lula da Silva', 'Debate', 'Presidente', 'Debate eleitoral', 'Memória', '2022', 'Agosto', 'Vídeo', 'Prova']"
Debate presidencial na TV Record,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2018/10/01/debate-record-presidencia-candidatos-a-presidente-da-republica-uol-confere.htm,Falso,2018-10-01 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRsn6H_Rbp-f0NVxWfkubtZKRQouG2vb0_rg9JiZOMxwFHhHyj5,"['Debate', 'Presidente', 'Record', 'Debate eleitoral']"
